Epoch,BC Loss
1,0.2787599203586578
2,0.20405659094452858
3,0.19034498488903046
4,0.20236635395884514
5,0.21257802680134774
6,0.21822533969581126
7,0.2224887477606535
8,0.21974907678365707
9,0.21390816655755043
10,0.21103030014038085
11,0.20156741762161254
12,0.14663489370048047
13,0.1111042665913701
14,0.0992488721422851
15,0.09650551328063012
16,0.09792421304807067
17,0.10256435435637831
18,0.1291129886880517
19,0.09393759201094508
20,0.07932963133975864
21,0.07406738784536719
22,0.07793597945570946
23,0.0844351032152772
24,0.08863955999910832
25,0.08886735001206399
26,0.08608735803887248
27,0.0843551394790411
28,0.08171831778436899
29,0.07950831934064627
30,0.07836415784433484
31,0.07691839024052025
