Epoch,BC Loss
1,0.3036096825748682
2,0.15079308539628983
3,0.14611625493317842
4,0.09226655071601271
5,0.11491777845844627
6,0.16133331015706062
7,0.13991983149945736
8,0.1197846057638526
9,0.1106924402564764
10,0.10281720357388258
11,0.09574837016686798
12,0.08999191470444202
13,0.0850053773522377
14,0.08058511677756905
15,0.07616374319791794
16,0.07368903169035912
17,0.07135500978678465
18,0.06841015591472387
19,0.06746232319995761
20,0.06528804323077202
21,0.06279272847995163
22,0.06119796945899725
23,0.06064646623656154
24,0.05907672072201967
25,0.05822474973276257
26,0.05631086478941143
27,0.05605612295120955
28,0.05472449754923582
29,0.05389913330227137
30,0.052086111104115845
31,0.05120693572610617
32,0.050031500125303864
33,0.04998756344057619
34,0.0487958369590342
35,0.04785041833296418
36,0.046953583005815744
