Epoch,BC Loss
1,0.13959548300504684
2,0.07456552250683307
3,0.06333626186847686
4,0.058470514122396705
5,0.055189245693385604
6,0.0523978072591126
7,0.0515510675124824
8,0.04944881458207965
9,0.048276231225579974
10,0.04689027648419142
11,0.04607171370834112
12,0.04477452791668474
13,0.044265015121549366
14,0.04348103624023497
15,0.042967881457880136
16,0.04213106742314994
17,0.04096836592443288
18,0.040645882412791254
19,0.040161167223006486
20,0.03990516168996692
21,0.039545967601239684
22,0.03876222109608352
23,0.03842963845655322
24,0.03800547960400581
25,0.037934159003198145
26,0.03742894154787064
27,0.03690074830129743
28,0.0370151901319623
29,0.03664146246388555
30,0.036613963769748806
31,0.036097351253032685
32,0.03601042505539954
33,0.03586009820364416
34,0.03540979585237801
35,0.0351537247877568
36,0.034766390297561886
37,0.034725680956616996
38,0.034638732874765994
39,0.03424307037703693
40,0.03413226427696645
41,0.034135627813637257
42,0.034167411996051666
43,0.03406321855075657
44,0.033893578285351396
45,0.03335383713804185
46,0.03345370683260262
47,0.03315813446976244
48,0.03304630914330482
49,0.033127042934298516
50,0.03272585139796138
51,0.032859531102702025
52,0.03263211848400533
53,0.03266327609866858
54,0.0325053783338517
55,0.032511525167152285
56,0.032296114811673764
57,0.03237203098833561
58,0.032221760667860505
59,0.031921223556622864
60,0.03181323399581015
61,0.03174085335247218
62,0.031775753179565075
63,0.03193151224777103
64,0.03153408780507743
65,0.03132143760472536
66,0.0317535750605166
67,0.031480903243646025
68,0.03125274798646569
69,0.03117929437197745
70,0.03107478238083422
71,0.03132567726634443
72,0.03107023642025888
73,0.031203608701005577
74,0.030898879373446108
75,0.030821480989456175
76,0.030772530471906066
77,0.03078140022419393
78,0.030731336599215866
79,0.030656925762072205
